id,cleanup_term,source,definition,exactmatch1,historynote,note,sourcenote,parent1id,parent2id,parent3id
405,distributary_mouth,EventEnvironment_2016,The mouth of a delta distributary channel where fluvial discharge moves from confined to unconfined flow conditions,http://resource.geosciml.org/classifier/cgi/eventenvironment/0043,,,"Neuendorf et al., 2005",deltaic_system_setting,,
406,dissolution_creep,EventProcess2016,Deformation by dissolution under the effects of differential stress and its transport to a new location by movement of fluid in the rock body.,http://resource.geosciml.org/classifier/cgi/eventprocess/0021,,,"Neuendorf, K.K.E, Mehl, J.P. & Jackson, J.A. (eds), 2005. Glossary of geology, 5th Edition. American Geological Institute, Alexandria, 779 p.",ductile_flow,,
407,domainal_cleavage,FoliationType_2016,Fabric in which domains of more strongly developed (closely spaced) cleavage are separated by lenses of weakly or non-cleaved rock. Typically observed on outcrop scale and used for geologic unit description,,,,this vocabulary,cleavage,,
408,discrete_cleavage,FoliationType_2016,Spaced cleavage in which cleavage domains have sharply defined edges.,,,,"Borradaile et al., 1982",spaced_cleavage,,
409,dip_dip_direction,ConventionCode_2016,"The orientation measurement consists of a dip and a dip direction. Dip is the angle that the structural surface (eg bedding, fault plane) makes with the horizontal measured perpendicular to the strike of the structure and in the vertical plane Dip direction is the azimuth perpindicular to the strike of the structure",,,,GeoSciML v.2,top,,
410,deformation_unit,GeologicUnitType_2016,Lithotectonic unit defined by deformation style or characteristic geologic structure observable in outcrop.,http://resource.geosciml.org/classifier/cgi/geologicunittype/0006,,,this vocabulary,lithotectonic_unit,,
411,deep_sea_trench,EventEnvironment_2016,"Deep ocean basin with steep (average 10 degrees) slope toward land, more gentle slope (average 5 degrees) towards the sea, and abundant seismic activity on landward side of trench. Does not denote water depth, but may be very deep.",http://resource.geosciml.org/classifier/cgi/eventenvironment/0038,,,Reading 1978,marine_setting,,
412,diffusion_creep,EventProcess2016,"Grain-scale, ductile deformation accomplished by the motion of atoms through crystals, along grain boundaries, and through pore fluids.",http://resource.geosciml.org/classifier/cgi/eventprocess/0018,,,"Neuendorf, K.K.E, Mehl, J.P. & Jackson, J.A. (eds), 2005. Glossary of geology, 5th Edition. American Geological Institute, Alexandria, 779 p.",ductile_flow,,
413,dart_ellipsoid,GeologicUnitMorphology_2016,Ellipsoid with L more than 50 times W or H,,,,This vocabulary,ellipsoid,,
414,discoid_anulus,GeologicUnitMorphology_2016,Cone with central part removed along cylindrical volume approximately along the cone axis,,,,This vocabulary,three_dimensional_body,,
415,disconcordant,,,,,,,,,
416,discontinuous,dh2loop_RelativeLocation,,,,,,,,
417,ductile_flow,EventProcess2016,deformation without apparent loss of continuity at the scale of observation.,http://resource.geosciml.org/classifier/cgi/eventprocess/0022,,,"Neuendorf, K.K.E, Mehl, J.P. & Jackson, J.A. (eds), 2005. Glossary of geology, 5th Edition. American Geological Institute, Alexandria, 779 p.",deformation,,
418,decreasingly,dh2loop_ValueQualifier,,,,,,,,
419,desseminated,,,,,,,,,
420,dissemianted,,,,,,,,,
421,disseminated,"Chace, F.M. (1956)",,,,,,,,
422,descloizite,"Chace, F.M. (1956)",,,,,,,,
423,dissolution,EventProcess2016,"The process of dissolving into a homogenous solution, as when an acidic solution dissolves limestone. In karst, refers to the process of dissolving rock to produce landforms, in contrast to solution, the chemical product of dissolution.",http://resource.geosciml.org/classifier/cgi/eventprocess/0020,,,"Neuendorf, K.K.E, Mehl, J.P. & Jackson, J.A. (eds), 2005. Glossary of geology, 5th Edition. American Geological Institute, Alexandria, 779 p.",chemical_weathering,,
424,deformation,EventProcess2016,"Movement of rock bodies by displacement on fault or shear zones, or change in shape of a body of Earth material.",http://resource.geosciml.org/classifier/cgi/eventprocess/0014,,,this vocabulary,geologic_process,,
425,distributed,"Chace, F.M. (1956)",,,,,,,,
426,delicately,,,,,,,,,
427,definetely,,,,,,,,,
428,definitely,,,,,,,,,
429,decreasing,dh2loop_ValueQualifier,,,,,,,,
430,deposition,EventProcess2016,"Accumulation of material, the constructive process of accumulation of sedimentary particles, chemical precipitation of mineral matter from solution, or the accumulation of organic material on the death of plants and animals.",http://resource.geosciml.org/classifier/cgi/eventprocess/0016,,,"Neuendorf, K.K.E, Mehl, J.P. & Jackson, J.A. (eds), 2005. Glossary of geology, 5th Edition. American Geological Institute, Alexandria, 779 p.",sedimentary_process,,
431,detachment,FaultMovementSense_2016,A regional-scale low-angle normal fault.,http://resource.geosciml.org/classifier/cgi/faultmovementsense/0001,,,GGIC vocabularies working group (Australia),normal,,
432,diaphorite,"Chace, F.M. (1956)",,,,,,,,
433,discordant,EarthResourceForm_2016,"A mineral deposit which crosscuts stratigraphic contacts or internal structures (eg, bedding, foliation) within its host rocks (eg, vein, reef, mass, lens, pipe, column, etc.)",0,0,0,this vocabulary,,,
434,dome_sheet,GeologicUnitMorphology_2016,Sheet in which L and W are curved arcs.,,,,This vocabulary,sheet,,
435,dyscrasite,"Chace, F.M. (1956)",,,,,,,,
436,developed,,,,,,,,,
437,ductolith,GeologicUnitMorphology_2016,"Concordant intrusion, teardrop-shaped in cross section.",,,,This vocabulary,geologic_body,,
438,detritals,,,,,,,,,
439,dunefield,EventEnvironment_2016,"Extensive deposits on sand in an area where the supply is abundant. As a characteristic, individual dunes somewhat resemble barchans but are highly irregular in shape and crowded, erg areas of the Sahara are an example.",http://resource.geosciml.org/classifier/cgi/eventenvironment/0044,,,"Neuendorf et al., 2005",aeolian_process_setting,,
440,dangerous,,,,,,,,,
441,decreased,dh2loop_ValueQualifier,,,,,,,,
442,different,,,,,,,,,
443,disrupted,,,,,,,,,
444,domeykite,"Chace, F.M. (1956)",,,,,,,,
445,dropstone,CompoundMaterialConstituentPartRole_2016,"An oversized stone in laminated sediment that depresses the underlying laminae and may be covered by -draped laminae. Most dropstones originate through ice-rafting, other sources are floating tree roots and kelp holdfasts...",http://resource.geosciml.org/classifier/cgi/compoundmaterialconstituentpartrole/0010,,,"NADM SLTTs 2004, Jackson,1997,p 193",structural_part,,
446,delicate,,,,,,,,,
447,dolomite,"Chace, F.M. (1956)",,,,,,,,
448,drilling,,,,,,,,,
449,datolite,"Chace, F.M. (1956)",,,,,,,,
450,dip_slip,FaultMovementType_2016,The net slip of the fault lies in the dip direction of the fault.,http://resource.geosciml.org/classifier/cgi/faultmovementtype/0002,,,GGIC vocabularies working group (Australia),dip_separation_sense,,
451,dragfold,"Chace, F.M. (1956)",,,,,,,,
452,detrital,,,,,,,,,
453,decrease,dh2loop_ValueQualifier,,,,,,,,
454,definite,,,,,,,,,
455,deformed,dh2loop_EventProcess,,,,,,,,
456,detritus,,,,,,,,,
457,devonian,dh2loop_GeologicTime,,,,,,,,
458,diaspore,dh2loop_Minerals,,,,,,,,
459,digenite,dh2loop_Minerals,,,,,,,,
460,digitate,dh2loop_Minerals,,,,,,,,
461,diopside,"Chace, F.M. (1956)",,,,,,,,
462,district,dh2loop_Scale,,,,,,,,
463,drilled,,,,,,,,,
464,densely,dh2loop_ProportionTerms,,,,,,,,
465,ductile,DeformationStyle_2016,Displacement across shear displacement structure largely accommodated by plastic deformation of the rock body without loss of macroscopic continuity.,,,,this vocabulary,top,,
466,dextral,FaultMovementSense_2016,"Right-lateral separation sense, in plan view, the side opposite the observer appears displaced to the right.,",http://resource.geosciml.org/classifier/cgi/faultmovementsense/0002,,,GGIC vocabularies working group (Australia),top,,
467,deposit,MineralOccurrenceType_2016,"A mass of naturally occurring material in the Earth that contains an anomalous concentration of some mineral or rock type that has some potential for human utilization, without regard to mode of origin. Typically is a single, connected, genetically related body of material.",,,,"This vocabulary, modified from Neuendorf et al., 2005 (AGI Glossary)",occurrence,,
468,derived,,,,,,,,,
469,diamond,dh2loop_Minerals,,,,,,,,
470,dickite,"Chace, F.M. (1956)",,,,,,,,
471,diffuse,ParticleShape_2016,"Particles in aggregate have diffuse, ill-defined boundaries",,,,SLTTs 2004,top,,
472,dipping,dh2loop_ConventionCode,,,,,,,,
473,discard,"Chace, F.M. (1956)",,,,,,,,
474,disrupt,,,,,,,,,
475,dravite,dh2loop_Minerals,,,,,,,,
476,define,,,,,,,,,
477,diapir,GeologicUnitMorphology_2016,Broadly inverted tear drop morphology. Body of magmatic or mobile sedimentary material intruded into overlying rocks.,,,,This vocabulary,geologic_body,,
478,discus,GeologicUnitMorphology_2016,"Body with two sides that converge to define an edge that is circular in profile, edge separates definable top and bottom. L=W>H. Grades to oblate ellipsoid as edge separating sides loses definition, cone as one side becomes distinctly planar.",,,,This vocabulary,three_dimensional_body,,
479,dissem,,,,,,,,,
480,during,dh2loop_ValueQualifier,Beginning and end of source interval are both after the beginning of the target interval and before the end of the target interval.,,,,"Allen and Ferguson, 1994",top,,
481, dense ,"Chace, F.M. (1956)",,,,,,,,
482, disem ,,,,,,,,,
483, druzy ,,,,,,,,,
484, dusty ,,,,,,,,,
485, damp ,,,,,,,,,
486, dark ,"Chace, F.M. (1956)",,,,,,,,
487, disc ,GeologicUnitMorphology_2016,"Cylinder with height less than diameter. L=W>H, edges separates side from top and bottom. Grades to oblate ellipsoid as edges lose definition.",,,,This vocabulary,cylinder,,
488, dome ,GeologicUnitMorphology_2016,"Steep-sided disk-like body, for example and accumulation of high viscosity lava above and around a volcanic vent. A structure in which the top of the body dips gently away in all directions e.g. salt dome, extrusion dome",,,,This vocabulary,geologic_body,,
489, drab ,"Chace, F.M. (1956)",,,,,,,,
490, drop ,,,,,,,,,
491, dip ,dh2loop_ConventionCode,,,,,,,,
492, dry ,,,,,,,,,
493,DK,,,,,,,,,
494,equant_polygonal_profile,GeologicUnitMorphology_2016,Aquant profile with boundary that can be divided into distinct straight sides separated by higher curvature corners.,,,,This vocabulary,equant_profile,,
495,extra_terrestrial_origin,EventEnvironment_2016,Material originated outside of the Earth or its atmosphere.,http://resource.geosciml.org/classifier/cgi/eventenvironment/0053,,,"Neuendorf et al 2005,",top,,
496,elliptical_cylinder,GeologicUnitMorphology_2016,"Cylinder that has elliptical cross section, distinct side surfaces are not defined.",,,,This vocabulary,cylinder,,
497,eutaxitic_foliation,FoliationType_2016,"Foliation defined by flattened pumice clasts or glass shards, aligned elongate lithic fragments, variations in composition, vesicularity, crystallinity, grain size, spherulite and lithophysae abundance, or the degree of devitrification in a welded tuff. This term denotes interpretation that foliation formed during compaction and welding of tuff.",,,,"Neuendorf et al. 2005, this vocabulary",primary_igneous_foliation,,
498,elliptical_profile,GeologicUnitMorphology_2016,"Profile approximates an ellipse, ratio of long axis to short axis is greater than 1.4",,,,This vocabulary,planar_profile,,
499,epidote_alteration,AlterationType_2016,missing,http://resource.geosciml.org/classifier/cgi/alterationtype/0010,,,this vocabulary,alteration_not_specified,,
500,effusive_eruption,EventProcess2016,Eruptions characterized by low volatile content of the erupting magma relative to ambient pressure,http://resource.geosciml.org/classifier/cgi/eventprocess/0023,,,"Orton, G.J., 1996. Volcanic environments. 485-567 in Readingh.G. (ed.), Sedimentary Environments: Processes, Facies and Stratigraphy, Third Edition. Blackwell Science, Oxford",eruption,,
501,estuarine_lagoon,EventEnvironment_2016,"A lagoon produced by the temporary sealing of a river estuary by a storm barrier. Such lagoons are usually seasonal and exist until the river breaches the barrier, they occur in regions of low or spasmodic rainfall",http://resource.geosciml.org/classifier/cgi/eventenvironment/0050,,,"Neuendorf et al., 2005",estuary_setting,lagoonal_setting,
502,extended_terrane,EventEnvironment_2016,"Tectonic setting characterized by extension of the upper crust manifested by formation of rift valleys or basin and range physiography, with arrays of low to high angle normal faults. Modern examples include the North Sea, East Africa, and the Basin and Range of the North American Cordillera. Typically applied in continental crustal settings.",http://resource.geosciml.org/classifier/cgi/eventenvironment/0052,,,This vocabulary,tectonic_setting,,
503,elongate_discus,GeologicUnitMorphology_2016,Discus for which the profile defined by the bounding edge is longer in one direction than other. L>W>>H,,,,This vocabulary,discus,,
504,estuarine_delta,EventEnvironment_2016,"A delta that has filled, or is in the process of filling, an estuary",http://resource.geosciml.org/classifier/cgi/eventenvironment/0049,,,"Neuendorf et al., 2005",deltaic_system_setting,estuary_setting,
505,excavation_unit,GeologicUnitType_2016,"Geologic unit defined by human-made genesis involving excavation. Not necessarily defined by landform (a hole...), as they could have been subsequently filled/landscaped etc. If the excavation is filled becomes an excavation with artificial ground wholly or partly superimposed on it. This sort of thing can become quite important in urban geology where an excavation can be filled and landscaped.",http://resource.geosciml.org/classifier/cgi/geologicunittype/0007,,,this vocabulary,lithogenetic_unit,,
506,equant_profile,GeologicUnitMorphology_2016,Profile for which the ratio of length of longest chord to shortest chord is less than 1.4.,,,,This vocabulary,planar_profile,,
507,epiboumngerite,"Chace, F.M. (1956)",,,,,,,,
508,erythrozincite,"Chace, F.M. (1956)",,,,,,,,
509,equigranualr,,,,,,,,,
510,ellipsoidal,"Chace, F.M. (1956)",,,,,,,,
511,extensively,dh2loop_ProportionTerms,,,,,,,,
512,emplectite,"Chace, F.M. (1956)",,,,,,,,
513,excavation,EventProcess2016,"The removal of material, as in a mining operation",http://resource.geosciml.org/classifier/cgi/eventprocess/0026,,,this vocabulary,human_activity,,
514,extinction,EventProcess2016,"Process of disappearance of a species or higher taxon, so that it no longer exists anywhere or in the subsequent fossil record.",http://resource.geosciml.org/classifier/cgi/eventprocess/0027,,,this vocabulary,geologic_process,,
515,extraction,FaultMovementType_2016,A fault whose two sides have approached each other substantially in the direction perpendicular to the fault.,http://resource.geosciml.org/classifier/cgi/faultmovementtype/0003,,,"Froitzheim, N., Pleuger, J. & Nagel, T.J., 2006. Extraction faults. Journal of Structural Geology v28, pp. 1388-1395.",top,,
516,ellipsoid,GeologicUnitMorphology_2016,"Body that contains three orthogonal axes defining three surfaces of reflection symmetry, profiles along the surfaces are elliptical. Boundary can not be separated into sides (no edges). Becomes cylinder or disc when bounding surface can be considered parallel to one of the axis. L>=W>=H",,,,This vocabulary,three_dimensional_body,,
517,elongated,dh2loop_GeologicUnitMorphology,,,,,,,,
518,excellent,,,,,,,,,
519,ethmolith,GeologicUnitMorphology_2016,"Discordant, funnel-shaped intrusion, tapers downward",,,,This vocabulary,geologic_body,,
520,evidently,,,,,,,,,
521,extremely,dh2loop_ProportionTerms,,,,,,,,
522,erosional,dh2loop_EventProcess,,,,,,,,
523,enstatite,"Chace, F.M. (1956)",,,,,,,,
524,epimatrix,CompoundMaterialConstituentPartRole_2016,"A type of matrix consisting of inhomogeneous interstitial materials grown in originally open interstices during diagenesis,but lacking the homogeneity and clear textural evidence of pore-filling needed to classify as phyllosilicate cement.",http://resource.geosciml.org/classifier/cgi/compoundmaterialconstituentpartrole/0011,,,"NADM SLTTs 2004, Dickinson,1970",matrix,,
525,erythrite,"Chace, F.M. (1956)",,,,,,,,
526,extensive,dh2loop_ProportionTerms,,,,,,,,
527,electrum,dh2loop_Minerals,,,,,,,,
528,elevated,,,,,,,,,
529,elongate,dh2loop_GeologicUnitMorphology,,,,,,,,
530,epiclast,ParticleType_2016,"An individual constituent, grain or fragment of a sediment or rock, produced by erosion of a larger rock mass. Particle whose origin as a fragment is a result of surface (sedimentary, weathering...) processes. 'Crystals, crystal fragments, glass and rock fragments that have been liberated from any type of pre-existing consolidated rock (volcanic or non-volcanic) by weathering or erosion and transported from the site of origin by gravity, air, water, or ice' [Schmid, 1981]. Distinguished from intraclast in that epiclast is derived from a pre-existing rock from outside the basin of deposition (NADM SLTTs 2004) before introduction into a CompoundMaterial (sense of NADMC1, 2004).",,,,Schmid 1981,granular_particle,,
531,euhedral,ParticleShape_2016,"Crystalline particles in a rock are mostly bounded by perfect crystal faces, usually referring to igneous or metamorphoc grains",,,,"MacKenzie, W.S., Donaldson, C.H. & Guilford, C., 1982. Atlas of igneous rocks and their textures. John Wiley & Sons, New York",top,,
532,enargite,"Chace, F.M. (1956)",,,,,,,,
533,enriched,"Chace, F.M. (1956)",,,,,,,,
534,eruption,EventProcess2016,"The ejection of volcanic materials (lava, pyroclasts, and volcanic gases) onto the Earth's surface, either from a central vent or from a fissure or group of fissures",http://resource.geosciml.org/classifier/cgi/eventprocess/0025,,,"Neuendorf, K.K.E, Mehl, J.P. & Jackson, J.A. (eds), 2005. Glossary of geology, 5th Edition. American Geological Institute, Alexandria, 779 p.",magmatic_process,,
535,eruptive,dh2loop_EventProcess,,,,,,,,
536,euxenite,"Chace, F.M. (1956)",,,,,,,,
537,enclave,GeologicUnitPartRole_2016,General term for a polymineralic aggregate enclosed in a granitoid.,,,,"Cobbing, 2000, Barbarin, 1991",inclusion,,
538,equalTo,ValueQualifier_2016,Reported property value is the observered value,,,,"GeoSciML UML model, definition this vocabulary",top,,
539,erosion,EventProcess2016,"The process of disaggregation of rock and displacement of the resultant particles (sediment) usually by the agents of currents such as, wind, water, or ice by downward or down-slope movement in response to gravity or by living organisms (in the case of bioerosion).",http://resource.geosciml.org/classifier/cgi/eventprocess/0024,,,this vocabulary,sedimentary_process,,
540,evident,,,,,,,,,
541,exposed,EarthResourceExpression_2016,The Earth resource is exposed at the Earth's surface.,,,,Australia/New Zealand Government Geoscience Information Committee (GGIC),top,,
542,extreme,dh2loop_ProportionTerms,,,,,,,,
543,easily,,,,,,,,,
544,eocene,dh2loop_GeologicTime,,,,,,,,
545,equant,ParticleAspectRatio_2016,"Particles are compact in Sneed & Folk (1958), ratio of S/L is greater than 0.7.",,,,"Sneed and Folk, 1958, Pettijohn et al., 1972, NADM SLTTs, 2004",any_form,,
546, equal ,dh2loop_ValueQualifier,,,,,,,,
547, east ,,,,,,,,,
548, easy ,,,,,,,,,
549, etc ,,,,,,,,,
550,fissile_lamination,FoliationType_2016,"Diffuse to distinct lamination in mudstones and mud, defined by the alignment of clay minerals. Lacks distinct very-fine scale layering and repetition of couplets that characterize varves. Essentially a continuous cleavage parallel to bedding, but considered a sedimentary structure related to sediment compaction during diagenesis.",,,,"SLTTs 2004, this vocabulary",bedding_lamination_structure,,
551,football_ellipsoid,GeologicUnitMorphology_2016,Ellipsoid with L 2 to 5 times W or H,,,,This vocabulary,ellipsoid,,
552,form_not_specified,ParticleAspectRatio_2016,Particle form may take any or no value. For use in normative descriptions.,,,,this vocabulary,top,,
553,fluidal_pyroclast,ParticleType_2016,"Pyroclast that has a a rounded, fluidal shape indicating that it was in a wholly or partly molten state during formation and subsequent transport. Concept corresponds to bomb, but with no size denotation.",,,,"Base on Gillespie and Styles, 1999",juvenile_pyroclastic_fragment,,
554,fracture cleavage,"Chace, F.M. (1956)",,,,,,,,
555,fracture_cleavage,,,,,,,,,
556,fracture-cleavage,,,,,,,,,
557,flaser_structure,FoliationType_2016,Tectonic foliation defined by lenses and layers of original or relatively unaltered granular minerals surrounded by a matrix of highly sheared and crushed material. No connotation of metamorphic grade.,,,,Neuendorf et al. 2005,tectonic_foliation,,
558,frost_shattering,EventProcess2016,"Propagation of fractures due to expansion of freezing water in intergranular spaces and fractures in a rock body. Result is mechanical disintegration spliitting, or breakup of rock.",http://resource.geosciml.org/classifier/cgi/eventprocess/0031,,,"Neuendorf, K.K.E, Mehl, J.P. & Jackson, J.A. (eds), 2005. Glossary of geology, 5th Edition. American Geological Institute, Alexandria, 779 p.",physical_weathering,,
559,fluid_inclusion,ParticleType_2016,"A cavity within a crystal containing liquid and/or gas, formed by the entrapment in crystal irregularities of fluid, commonly that from which the mineral crystallised.",,,,"Neuendorf et al., 2005",cavity,,
560,floating_clast,CompoundMaterialConstituentPartRole_2016,Constituent is a clast that has no visible contacts with other clasts. Interpreted to be largely or completly immersed in matrix or cement.,http://resource.geosciml.org/classifier/cgi/compoundmaterialconstituentpartrole/0012,,,"Pettijohn et al.,1972,p. 90, SMR",structural_part,,
561,flow_lineation,LineationType_2016,"A linear alignment of fabric elements, especially elongate or rod-shaped minerals, interpreted to have been aligned by flow of magma, lava, pyroclastic material, or diapiric flow of sedimentary rock.",,,,"Geoscience Victoria, Australia",lineation,,
562,freieslebenite,"Chace, F.M. (1956)",,,,,,,,
563,flow cleavage,"Chace, F.M. (1956)",,,,,,,,
564,flow_cleavage,,,,,,,,,
565,flow_layering,FoliationType_2016,"Layering produced by flow of magma, lava, or diapiric flow of sedimentary rock. Distinction from eutaxitic foliation may be difficult.",,,,this vocabulary,layering,,
566,flow-cleavage,,,,,,,,,
567,fragmentation,ProcessingActivity_2016,Breaking solid particles to reduce their sizes; general term encompassing crushing and grinding.,,,,"Dictionnaire thématique des mines et carrières, SIM Editor.",physical-treatment,,
568,fecal_pellet,ParticleType_2016,"An organic excrement, mainly of invertebrates, occuring especially in modern marine sediments but also fossilised in some sedimentary rocks, usually with simple ovoid form, less commonly rod-shaped.",,,,"Neuendorf et al., 2005",biogenic_particle,,
569,franklinite,"Chace, F.M. (1956)",,,,,,,,
570,feasibility,MineStatus_2016,Technical economic study aimed at assessing the possibility to launching a mine venture.,,,,"Dictionnaire thématique des mines et carrières, SIM Editor.",under-development,,
571,fergusonite,"Chace, F.M. (1956)",,,,,,,,
572,floodplain,EventEnvironment_2016,"The surface or strip of relatively smooth land adjacent to a river channel, constructed by the present river in its existing regimen and covered with water when the river overflows its banks. It is built of alluvium carried by the river during floods and deposited in the sluggish water beyond the influence of the swiftest current. A river has one floodplain and may have one or more terraces representing abandoned floodplains",http://resource.geosciml.org/classifier/cgi/eventenvironment/0055,,,"Neuendorf et al., 2005",river_plain_system_setting,,
573,fragmental,"Chace, F.M. (1956)",,,,,,,,
574,famatinite,"Chace, F.M. (1956)",,,,,,,,
575,forsterite,dh2loop_Minerals,,,,,,,,
576,fracturing,EventProcess2016,The formation of a surface of failure resulting from stress,http://resource.geosciml.org/classifier/cgi/eventprocess/0030,,,this vocabulary,deformation,,
577,franckeite,"Chace, F.M. (1956)",,,,,,,,
578,foliation,FoliationType_2016,Fabric defined by the planar arrangement of textural or structural features (fabric elements).,0,0,0,Jackson 1997,,,
579,favorable,"Chace, F.M. (1956)",,,,,,,,
580,foot wall,"Chace, F.M. (1956)",,,,,,,,
581,ferberite,"Chace, F.M. (1956)",,,,,,,,
582,fractured,,,,,,,,,
583,fragments,"Chace, F.M. (1956)",,,,,,,,
584,fluorite,"Chace, F.M. (1956)",,,,,,,,
585,foliated,dh2loop_FoliationType,,,,,,,,
586,fayalite,dh2loop_Minerals,,,,,,,,
587,fenestra,ParticleType_2016,"Primary or penecontemporaneous gap or cavity in the framework of a sedimentary rock, larger than grain-supported intersticies. May be open space or have partial to complete fill with secondary cement or introduced sediment.",,,,based on Neuendorf et al 2005,cavity,,
588,forereef,EventEnvironment_2016,"The seaward side of a reef, the slope covered with deposits of coarse reef talus",http://resource.geosciml.org/classifier/cgi/eventenvironment/0058,,,"Neuendorf et al., 2005",biological_reef_setting,,
589,fracture,"Chace, F.M. (1956)",,,,,,,,
590,fragment,,,,,,,,,
591,fuchsite,dh2loop_Minerals,,,,,,,,
592,folding,EventProcess2016,Deformation in which planar surfaces become regularly curviplanar surfaces with definable limbs (zones of lower curvature) and hinges (zones of higher curvature).,http://resource.geosciml.org/classifier/cgi/eventprocess/0029,,,this vocabulary,deformation,,
593,fissile,,,,,,,,,
594,fraible,"Chace, F.M. (1956)",,,,,,,,
595,freshly,,,,,,,,,
596,friable,,,,,,,,,
597,fibrous,ParticleAspectRatio_2016,Particles are so elongate they are fibrous.,,,,"Sneed and Folk, 1958, Pettijohn et al., 1972, NADM SLTTs, 2004",strongly_prolate,,
598,fissure,"Chace, F.M. (1956)",,,,,,,,
599,flakes,"Chace, F.M. (1956)",,,,,,,,
600,fluffy,,,,,,,,,
601,filled,,,,,,,,,
602,fairly,dh2loop_ProportionTerms,,,,,,,,
603,finely,,,,,,,,,
604,fissle,"Chace, F.M. (1956)",,,,,,,,
605,fossil,"Chace, F.M. (1956)",,,,,,,,
606,funnel,EarthResourceShape_2016,"A roughly cylindrical body, which may reduce in diameter at one end like a funnel",http://resource.geosciml.org/classifier/cgi/geologicunitmorphology/cylinder,,,BGS Mineral Occurrence Database,top,,
607,fiamme,ParticleType_2016,"Lens-shaped bodies, usually mm to cm thick, and centimeters to 1-2 decimeters long, typically seen on surfaces of some pyroclastic rocks. The name fiamme comes from the Italian word for flames, describing their shape. The term is descriptive and non-genetic.Generally interpreted to form by the collapse of pumice fragments during welding in a hot pyroclastic deposit.",,,,"Neuendorf et al 2005, http://en.wikipedia.org/wiki/Fiamme",igneous_inclusion,,
608, flake ,,,,,,,,,
609, fluid ,,,,,,,,,
610, field ,MineralOccurrenceType_2016,An area characterized by one or more mineral occurrences that are geologically related.,,,Must contain at least one mineral deposit.,This vocabulary,top,,
611, flat ,,,,,,,,,
612, flow ,,,,,,,,,
613, fold ,"Chace, F.M. (1956)",,,,,,,,
614, far ,dh2loop_RelativeLocation,,,,,,,,
615, few ,dh2loop_ValueQualifier,,,,,,,,
616,granular_framework_constituent,CompoundMaterialConstituentPartRole_2016,"Constituent forms a rigid arrangement of particles that support one another at their points of contact...constituting a mechanically firm structure capable of supporting open pore spaces,although interstices may be occupied by cement or matrix",http://resource.geosciml.org/classifier/cgi/compoundmaterialconstituentpartrole/0013,,,"Jackson,1997,p. 250",particulate_constituent,,
617,generic_mylonitic_foliation,FoliationType_2016,"Foliation defined by the shapes of deformed mineral grains or grain aggregates having aspect ratios greater than 1.5:1, greater than 10 percent of the rock is composed of 'matrix' showing evidence of tectonic reduction in grain size, and the foliation and matrix are interpreted to be the product of continuous, crystal-plastic deformation processes. Generic class is used when data are insufficient to determine classification to protomylontic, mylonite, or ultramylonitc foliation, or to specify that any sort of mylontic foliation may be present.",,,,NADM metamorphic rock vocabulary SLTTm1.0 2004,tectonic_foliation,,
618,groundmass_constituent,CompoundMaterialConstituentPartRole_2016,Constituent forms an interconnected network of material enclosing other constituents that are disguished by larger grain size.,http://resource.geosciml.org/classifier/cgi/compoundmaterialconstituentpartrole/0014,,,This vocabulary,interstitial_constituent,,
619,grain_shape_foliation,FoliationType_2016,"Foliation defined by the alignment of oblate particles, which may be detrital grains, crystals, or crystalline grain aggregates.",,,,this vocabulary,foliation,,
620,geologic_unit_matrix,GeologicUnitPartRole_2016,"Lithosome in a geologic unit that is generally interstitial to other constituents, e.g. in a mass wasting deposit, melange, tuff breccia.",,,,This vocabulary,lithosome,,
621,geomorphologic_unit,GeologicUnitType_2016,"Geologic unit defined by surface landform, e.g. hummocky moraine",http://resource.geosciml.org/classifier/cgi/geologicunittype/0009,,,,geologic_unit,,
622,geochemical-anomaly,EarthResourceExpression_2016,"The Earth resource, concealed or exposed, has an anomalous geochemical signature.",,,,Australia/New Zealand Government Geoscience Information Committee (GGIC),top,,
623,geophysical-anomaly,EarthResourceExpression_2016,"The Earth resource, concealed or exposed, has an anomalous geophysical signature.",,,,Australia/New Zealand Government Geoscience Information Committee (GGIC),top,,
624,generic_decollement,FaultMovementSense_2016,A large-displacement (kilometers or tens of kilometers) shallowly dipping to subhorizontal fault or shear zone.,http://resource.geosciml.org/classifier/cgi/faultmovementsense/0003,,,Neuendorf et al. 2005,top,,
625,geomagnetic_process,EventProcess2016,process that results in change in Earth's magnetic field,http://resource.geosciml.org/classifier/cgi/eventprocess/0033,,,this vocabulary,geologic_process,,
626,granular_particle,ParticleType_2016,"Solid constituent in a compound earth material (sense of NADMC1) that is a pre-existing object before incorporation into a particulate aggregate. \...a component of solid material that has the form of grains, clasts, fragments, or whole objects of any size, shape, composition, texture, and structure.\ (NADMSC SLTTs, 2004)",,,,NADM SLTTs 2004,solid_constituent_particle,,
627,gneissic_layering,FoliationType_2016,"Compositional layering in a metamorphic rock, syn. gneissic banding",,,,this vocabulary,metamorphic_layering,,
628,geologic_process,EventProcess2016,process that effects the geologic record,http://resource.geosciml.org/classifier/cgi/eventprocess/0032,,,this vocabulary,top,,
